Lot_ID,Process_Seq,Process_Step,Equipment_ID,Recipe,Process_Date
LOT_202603_0012,3,Deposition,EQP_DEP_01,RCP_DEP_02,2026-03-12
LOT_202603_0012,4,CMP,EQP_CMP_03,RCP_CMP_03,2026-03-13
LOT_202603_0012,5,Inspection,EQP_INSP_01,RCP_INS_04,2026-03-14
LOT_202603_0013,1,Lithography,EQP_LITHO_04,RCP_LIT_04,2026-03-19
LOT_202603_0013,2,Etch,EQP_ETCH_03,RCP_ETC_01,2026-03-20
LOT_202603_0013,3,Deposition,EQP_DEP_01,RCP_DEP_02,2026-03-21
LOT_202603_0013,4,CMP,EQP_CMP_02,RCP_CMP_03,2026-03-22
LOT_202603_0013,5,Inspection,EQP_INSP_01,RCP_INS_01,2026-03-23
LOT_202603_0014,1,Lithography,EQP_LITHO_01,RCP_LIT_02,2026-03-17
LOT_202603_0014,2,Etch,EQP_ETCH_02,RCP_ETC_01,2026-03-18
LOT_202603_0014,3,Deposition,EQP_DEP_01,RCP_DEP_02,2026-03-19
LOT_202603_0014,4,CMP,EQP_CMP_01,RCP_CMP_02,2026-03-20
LOT_202603_0014,5,Inspection,EQP_INSP_03,RCP_INS_04,2026-03-21
LOT_202603_0015,1,Lithography,EQP_LITHO_02,RCP_LIT_01,2026-03-24
LOT_202603_0015,2,Etch,EQP_ETCH_02,RCP_ETC_03,2026-03-25
LOT_202603_0015,3,Deposition,EQP_DEP_03,RCP_DEP_01,2026-03-26
LOT_202603_0015,4,CMP,EQP_CMP_01,RCP_CMP_01,2026-03-27
LOT_202603_0015,5,Inspection,EQP_INSP_01,RCP_INS_03,2026-03-28
LOT_202603_0016,1,Lithography,EQP_LITHO_03,RCP_LIT_01,2026-03-19
LOT_202603_0016,2,Etch,EQP_ETCH_04,RCP_ETC_03,2026-03-20
LOT_202603_0016,3,Deposition,EQP_DEP_03,RCP_DEP_02,2026-03-21
LOT_202603_0016,4,CMP,EQP_CMP_02,RCP_CMP_03,2026-03-22
LOT_202603_0016,5,Inspection,EQP_INSP_03,RCP_INS_03,2026-03-23
LOT_202603_0017,1,Lithography,EQP_LITHO_04,RCP_LIT_04,2026-03-28
LOT_202603_0017,2,Etch,EQP_ETCH_03,RCP_ETC_01,2026-03-29
LOT_202603_0017,3,Deposition,EQP_DEP_02,RCP_DEP_03,2026-03-30
LOT_202603_0017,4,CMP,EQP_CMP_03,RCP_CMP_04,2026-03-31
LOT_202603_0017,5,Inspection,EQP_INSP_01,RCP_INS_02,2026-04-01
LOT_202603_0018,1,Lithography,EQP_LITHO_01,RCP_LIT_01,2026-03-26
LOT_202603_0018,2,Etch,EQP_ETCH_03,RCP_ETC_02,2026-03-27
LOT_202603_0018,3,Deposition,EQP_DEP_02,RCP_DEP_02,2026-03-28
LOT_202603_0018,4,CMP,EQP_CMP_02,RCP_CMP_01,2026-03-29
LOT_202603_0018,5,Inspection,EQP_INSP_03,RCP_INS_02,2026-03-30
LOT_202603_0019,1,Lithography,EQP_LITHO_04,RCP_LIT_01,2026-03-23
LOT_202603_0019,2,Etch,EQP_ETCH_03,RCP_ETC_01,2026-03-24
LOT_202603_0019,3,Deposition,EQP_DEP_03,RCP_DEP_01,2026-03-25
LOT_202603_0019,4,CMP,EQP_CMP_01,RCP_CMP_01,2026-03-26
LOT_202603_0019,5,Inspection,EQP_INSP_03,RCP_INS_04,2026-03-27
LOT_202603_0020,1,Lithography,EQP_LITHO_04,RCP_LIT_03,2026-03-26
LOT_202603_0020,2,Etch,EQP_ETCH_03,RCP_ETC_04,2026-03-27
LOT_202603_0020,3,Deposition,EQP_DEP_02,RCP_DEP_03,2026-03-28
LOT_202603_0020,4,CMP,EQP_CMP_03,RCP_CMP_01,2026-03-29
LOT_202603_0020,5,Inspection,EQP_INSP_03,RCP_INS_02,2026-03-30
LOT_202603_0021,1,Lithography,EQP_LITHO_02,RCP_LIT_02,2026-03-05
LOT_202603_0021,2,Etch,EQP_ETCH_04,RCP_ETC_02,2026-03-06
LOT_202603_0021,3,Deposition,EQP_DEP_02,RCP_DEP_03,2026-03-07
LOT_202603_0021,4,CMP,EQP_CMP_02,RCP_CMP_01,2026-03-08
LOT_202603_0021,5,Inspection,EQP_INSP_02,RCP_INS_02,2026-03-09
LOT_202603_0022,1,Lithography,EQP_LITHO_01,RCP_LIT_04,2026-03-26
LOT_202603_0022,2,Etch,EQP_ETCH_04,RCP_ETC_04,2026-03-27
LOT_202603_0022,3,Deposition,EQP_DEP_01,RCP_DEP_04,2026-03-28
LOT_202603_0022,4,CMP,EQP_CMP_01,RCP_CMP_04,2026-03-29
LOT_202603_0022,5,Inspection,EQP_INSP_03,RCP_INS_02,2026-03-30
LOT_202603_0023,1,Lithography,EQP_LITHO_01,RCP_LIT_02,2026-03-21
LOT_202603_0023,2,Etch,EQP_ETCH_01,RCP_ETC_01,2026-03-22
LOT_202603_0023,3,Deposition,EQP_DEP_02,RCP_DEP_04,2026-03-23
LOT_202603_0023,4,CMP,EQP_CMP_01,RCP_CMP_02,2026-03-24
LOT_202603_0023,5,Inspection,EQP_INSP_03,RCP_INS_03,2026-03-25
LOT_202603_0024,1,Lithography,EQP_LITHO_04,RCP_LIT_01,2026-03-23
LOT_202603_0024,2,Etch,EQP_ETCH_02,RCP_ETC_02,2026-03-24
LOT_202603_0024,3,Deposition,EQP_DEP_03,RCP_DEP_01,2026-03-25
LOT_202603_0024,4,CMP,EQP_CMP_01,RCP_CMP_03,2026-03-26
LOT_202603_0024,5,Inspection,EQP_INSP_02,RCP_INS_03,2026-03-27
LOT_202603_0025,1,Lithography,EQP_LITHO_03,RCP_LIT_01,2026-03-09
LOT_202603_0025,2,Etch,EQP_ETCH_03,RCP_ETC_01,2026-03-10
LOT_202603_0025,3,Deposition,EQP_DEP_02,RCP_DEP_04,2026-03-11
LOT_202603_0025,4,CMP,EQP_CMP_01,RCP_CMP_01,2026-03-12
LOT_202603_0025,5,Inspection,EQP_INSP_02,RCP_INS_01,2026-03-13
LOT_202603_0026,1,Lithography,EQP_LITHO_03,RCP_LIT_01,2026-03-12
LOT_202603_0026,2,Etch,EQP_ETCH_02,RCP_ETC_02,2026-03-13
LOT_202603_0026,3,Deposition,EQP_DEP_03,RCP_DEP_02,2026-03-14
LOT_202603_0026,4,CMP,EQP_CMP_03,RCP_CMP_02,2026-03-15
LOT_202603_0026,5,Inspection,EQP_INSP_03,RCP_INS_01,2026-03-16
LOT_202603_0027,1,Lithography,EQP_LITHO_04,RCP_LIT_04,2026-03-21
LOT_202603_0027,2,Etch,EQP_ETCH_03,RCP_ETC_04,2026-03-22
LOT_202603_0027,3,Deposition,EQP_DEP_01,RCP_DEP_03,2026-03-23
LOT_202603_0027,4,CMP,EQP_CMP_02,RCP_CMP_01,2026-03-24
LOT_202603_0027,5,Inspection,EQP_INSP_01,RCP_INS_01,2026-03-25
LOT_202603_0028,1,Lithography,EQP_LITHO_01,RCP_LIT_02,2026-03-01
LOT_202603_0028,2,Etch,EQP_ETCH_03,RCP_ETC_01,2026-03-02
LOT_202603_0028,3,Deposition,EQP_DEP_01,RCP_DEP_03,2026-03-03
LOT_202603_0028,4,CMP,EQP_CMP_01,RCP_CMP_04,2026-03-04
LOT_202603_0028,5,Inspection,EQP_INSP_01,RCP_INS_01,2026-03-05
LOT_202603_0029,1,Lithography,EQP_LITHO_04,RCP_LIT_04,2026-03-26
LOT_202603_0029,2,Etch,EQP_ETCH_03,RCP_ETC_01,2026-03-27
LOT_202603_0029,3,Deposition,EQP_DEP_03,RCP_DEP_01,2026-03-28
LOT_202603_0029,4,CMP,EQP_CMP_01,RCP_CMP_02,2026-03-29
LOT_202603_0029,5,Inspection,EQP_INSP_03,RCP_INS_03,2026-03-30
LOT_202603_0030,1,Lithography,EQP_LITHO_03,RCP_LIT_02,2026-03-26
LOT_202603_0030,2,Etch,EQP_ETCH_04,RCP_ETC_01,2026-03-27
LOT_202603_0030,3,Deposition,EQP_DEP_01,RCP_DEP_01,2026-03-28
LOT_202603_0030,4,CMP,EQP_CMP_02,RCP_CMP_04,2026-03-29
LOT_202603_0030,5,Inspection,EQP_INSP_03,RCP_INS_02,2026-03-30
LOT_202603_0031,1,Lithography,EQP_LITHO_01,RCP_LIT_03,2026-03-01
LOT_202603_0031,2,Etch,EQP_ETCH_02,RCP_ETC_04,2026-03-02
LOT_202603_0031,3,Deposition,EQP_DEP_01,RCP_DEP_02,2026-03-03
LOT_202603_0031,4,CMP,EQP_CMP_02,RCP_CMP_02,2026-03-04
LOT_202603_0031,5,Inspection,EQP_INSP_03,RCP_INS_03,2026-03-05
LOT_202603_0032,1,Lithography,EQP_LITHO_04,RCP_LIT_01,2026-03-15
LOT_202603_0032,2,Etch,EQP_ETCH_03,RCP_ETC_04,2026-03-16
LOT_202603_0032,3,Deposition,EQP_DEP_02,RCP_DEP_02,2026-03-17
LOT_202603_0032,4,CMP,EQP_CMP_03,RCP_CMP_02,2026-03-18
LOT_202603_0032,5,Inspection,EQP_INSP_02,RCP_INS_04,2026-03-19
LOT_202603_0033,1,Lithography,EQP_LITHO_04,RCP_LIT_04,2026-03-02
LOT_202603_0033,2,Etch,EQP_ETCH_04,RCP_ETC_01,2026-03-03
LOT_202603_0033,3,Deposition,EQP_DEP_01,RCP_DEP_01,2026-03-04
LOT_202603_0033,4,CMP,EQP_CMP_03,RCP_CMP_03,2026-03-05
LOT_202603_0033,5,Inspection,EQP_INSP_03,RCP_INS_03,2026-03-06
LOT_202603_0034,1,Lithography,EQP_LITHO_04,RCP_LIT_02,2026-03-22
LOT_202603_0034,2,Etch,EQP_ETCH_01,RCP_ETC_03,2026-03-23
LOT_202603_0034,3,Deposition,EQP_DEP_03,RCP_DEP_01,2026-03-24
LOT_202603_0034,4,CMP,EQP_CMP_03,RCP_CMP_04,2026-03-25
LOT_202603_0034,5,Inspection,EQP_INSP_02,RCP_INS_03,2026-03-26
LOT_202603_0035,1,Lithography,EQP_LITHO_04,RCP_LIT_04,2026-03-16
LOT_202603_0035,2,Etch,EQP_ETCH_04,RCP_ETC_04,2026-03-17
LOT_202603_0035,3,Deposition,EQP_DEP_01,RCP_DEP_02,2026-03-18
LOT_202603_0035,4,CMP,EQP_CMP_01,RCP_CMP_02,2026-03-19
LOT_202603_0035,5,Inspection,EQP_INSP_03,RCP_INS_03,2026-03-20
LOT_202603_0036,1,Lithography,EQP_LITHO_04,RCP_LIT_02,2026-03-25
LOT_202603_0036,2,Etch,EQP_ETCH_03,RCP_ETC_01,2026-03-26
LOT_202603_0036,3,Deposition,EQP_DEP_03,RCP_DEP_04,2026-03-27
LOT_202603_0036,4,CMP,EQP_CMP_01,RCP_CMP_03,2026-03-28
LOT_202603_0036,5,Inspection,EQP_INSP_01,RCP_INS_04,2026-03-29
LOT_202603_0037,1,Lithography,EQP_LITHO_02,RCP_LIT_03,2026-03-08
LOT_202603_0037,2,Etch,EQP_ETCH_01,RCP_ETC_02,2026-03-09
LOT_202603_0037,3,Deposition,EQP_DEP_03,RCP_DEP_02,2026-03-10
LOT_202603_0037,4,CMP,EQP_CMP_03,RCP_CMP_03,2026-03-11
LOT_202603_0037,5,Inspection,EQP_INSP_03,RCP_INS_04,2026-03-12
LOT_202603_0038,1,Lithography,EQP_LITHO_04,RCP_LIT_02,2026-03-13
LOT_202603_0038,2,Etch,EQP_ETCH_04,RCP_ETC_02,2026-03-14
LOT_202603_0038,3,Deposition,EQP_DEP_01,RCP_DEP_04,2026-03-15
LOT_202603_0038,4,CMP,EQP_CMP_03,RCP_CMP_04,2026-03-16
LOT_202603_0038,5,Inspection,EQP_INSP_02,RCP_INS_02,2026-03-17
LOT_202603_0039,1,Lithography,EQP_LITHO_04,RCP_LIT_02,2026-03-21
LOT_202603_0039,2,Etch,EQP_ETCH_02,RCP_ETC_02,2026-03-22
LOT_202603_0039,3,Deposition,EQP_DEP_03,RCP_DEP_04,2026-03-23
LOT_202603_0039,4,CMP,EQP_CMP_01,RCP_CMP_02,2026-03-24
LOT_202603_0039,5,Inspection,EQP_INSP_03,RCP_INS_01,2026-03-25
LOT_202603_0040,1,Lithography,EQP_LITHO_02,RCP_LIT_02,2026-03-01
LOT_202603_0040,2,Etch,EQP_ETCH_01,RCP_ETC_01,2026-03-02
LOT_202603_0040,3,Deposition,EQP_DEP_02,RCP_DEP_02,2026-03-03
LOT_202603_0040,4,CMP,EQP_CMP_03,RCP_CMP_02,2026-03-04
LOT_202603_0040,5,Inspection,EQP_INSP_02,RCP_INS_02,2026-03-05
LOT_202603_0041,1,Lithography,EQP_LITHO_01,RCP_LIT_03,2026-03-16
LOT_202603_0041,2,Etch,EQP_ETCH_03,RCP_ETC_02,2026-03-17
LOT_202603_0041,3,Deposition,EQP_DEP_01,RCP_DEP_02,2026-03-18
LOT_202603_0041,4,CMP,EQP_CMP_01,RCP_CMP_02,2026-03-19
LOT_202603_0041,5,Inspection,EQP_INSP_02,RCP_INS_01,2026-03-20
LOT_202603_0042,1,Lithography,EQP_LITHO_01,RCP_LIT_02,2026-03-07
LOT_202603_0042,2,Etch,EQP_ETCH_04,RCP_ETC_02,2026-03-08
LOT_202603_0042,3,Deposition,EQP_DEP_02,RCP_DEP_01,2026-03-09
LOT_202603_0042,4,CMP,EQP_CMP_03,RCP_CMP_01,2026-03-10
LOT_202603_0042,5,Inspection,EQP_INSP_03,RCP_INS_02,2026-03-11
LOT_202603_0043,1,Lithography,EQP_LITHO_03,RCP_LIT_04,2026-03-05
LOT_202603_0043,2,Etch,EQP_ETCH_01,RCP_ETC_03,2026-03-06
LOT_202603_0043,3,Deposition,EQP_DEP_02,RCP_DEP_01,2026-03-07
LOT_202603_0043,4,CMP,EQP_CMP_01,RCP_CMP_02,2026-03-08
LOT_202603_0043,5,Inspection,EQP_INSP_01,RCP_INS_04,2026-03-09
LOT_202603_0044,1,Lithography,EQP_LITHO_02,RCP_LIT_04,2026-03-22
LOT_202603_0044,2,Etch,EQP_ETCH_03,RCP_ETC_03,2026-03-23
LOT_202603_0044,3,Deposition,EQP_DEP_01,RCP_DEP_03,2026-03-24
LOT_202603_0044,4,CMP,EQP_CMP_01,RCP_CMP_04,2026-03-25
LOT_202603_0044,5,Inspection,EQP_INSP_03,RCP_INS_02,2026-03-26
LOT_202603_0045,1,Lithography,EQP_LITHO_01,RCP_LIT_04,2026-03-23
LOT_202603_0045,2,Etch,EQP_ETCH_03,RCP_ETC_01,2026-03-24
LOT_202603_0045,3,Deposition,EQP_DEP_03,RCP_DEP_03,2026-03-25
LOT_202603_0045,4,CMP,EQP_CMP_03,RCP_CMP_02,2026-03-26
LOT_202603_0045,5,Inspection,EQP_INSP_02,RCP_INS_03,2026-03-27
LOT_202603_0046,1,Lithography,EQP_LITHO_03,RCP_LIT_02,2026-03-03
LOT_202603_0046,2,Etch,EQP_ETCH_01,RCP_ETC_02,2026-03-04
LOT_202603_0046,3,Deposition,EQP_DEP_03,RCP_DEP_04,2026-03-05
LOT_202603_0046,4,CMP,EQP_CMP_03,RCP_CMP_03,2026-03-06
LOT_202603_0046,5,Inspection,EQP_INSP_03,RCP_INS_01,2026-03-07
LOT_202603_0047,1,Lithography,EQP_LITHO_02,RCP_LIT_03,2026-03-12
LOT_202603_0047,2,Etch,EQP_ETCH_02,RCP_ETC_02,2026-03-13
LOT_202603_0047,3,Deposition,EQP_DEP_01,RCP_DEP_01,2026-03-14
LOT_202603_0047,4,CMP,EQP_CMP_01,RCP_CMP_04,2026-03-15
LOT_202603_0047,5,Inspection,EQP_INSP_01,RCP_INS_01,2026-03-16
LOT_202603_0048,1,Lithography,EQP_LITHO_01,RCP_LIT_04,2026-03-26
LOT_202603_0048,2,Etch,EQP_ETCH_02,RCP_ETC_03,2026-03-27
LOT_202603_0048,3,Deposition,EQP_DEP_03,RCP_DEP_02,2026-03-28
LOT_202603_0048,4,CMP,EQP_CMP_01,RCP_CMP_04,2026-03-29
LOT_202603_0048,5,Inspection,EQP_INSP_03,RCP_INS_02,2026-03-30
LOT_202603_0049,1,Lithography,EQP_LITHO_02,RCP_LIT_03,2026-03-16
LOT_202603_0049,2,Etch,EQP_ETCH_03,RCP_ETC_03,2026-03-17
LOT_202603_0049,3,Deposition,EQP_DEP_01,RCP_DEP_01,2026-03-18
LOT_202603_0049,4,CMP,EQP_CMP_01,RCP_CMP_02,2026-03-19
LOT_202603_0049,5,Inspection,EQP_INSP_01,RCP_INS_03,2026-03-20
LOT_202603_0050,1,Lithography,EQP_LITHO_01,RCP_LIT_02,2026-03-19
LOT_202603_0050,2,Etch,EQP_ETCH_04,RCP_ETC_04,2026-03-20
LOT_202603_0050,3,Deposition,EQP_DEP_03,RCP_DEP_01,2026-03-21
LOT_202603_0050,4,CMP,EQP_CMP_01,RCP_CMP_03,2026-03-22
LOT_202603_0050,5,Inspection,EQP_INSP_01,RCP_INS_02,2026-03-23
LOT_202603_0051,1,Lithography,EQP_LITHO_04,RCP_LIT_01,2026-03-05
LOT_202603_0051,2,Etch,EQP_ETCH_02,RCP_ETC_03,2026-03-06
LOT_202603_0051,3,Deposition,EQP_DEP_03,RCP_DEP_02,2026-03-07
LOT_202603_0051,4,CMP,EQP_CMP_01,RCP_CMP_01,2026-03-08
LOT_202603_0051,5,Inspection,EQP_INSP_02,RCP_INS_03,2026-03-09
LOT_202603_0052,1,Lithography,EQP_LITHO_04,RCP_LIT_03,2026-03-22
LOT_202603_0052,2,Etch,EQP_ETCH_01,RCP_ETC_01,2026-03-23
LOT_202603_0052,3,Deposition,EQP_DEP_02,RCP_DEP_02,2026-03-24
LOT_202603_0052,4,CMP,EQP_CMP_03,RCP_CMP_02,2026-03-25
LOT_202603_0052,5,Inspection,EQP_INSP_03,RCP_INS_01,2026-03-26
LOT_202603_0053,1,Lithography,EQP_LITHO_03,RCP_LIT_04,2026-03-25
LOT_202603_0053,2,Etch,EQP_ETCH_04,RCP_ETC_03,2026-03-26
LOT_202603_0053,3,Deposition,EQP_DEP_01,RCP_DEP_02,2026-03-27
LOT_202603_0053,4,CMP,EQP_CMP_03,RCP_CMP_02,2026-03-28
LOT_202603_0053,5,Inspection,EQP_INSP_03,RCP_INS_03,2026-03-29
LOT_202603_0054,1,Lithography,EQP_LITHO_02,RCP_LIT_03,2026-03-14
LOT_202603_0054,2,Etch,EQP_ETCH_01,RCP_ETC_04,2026-03-15
LOT_202603_0054,3,Deposition,EQP_DEP_03,RCP_DEP_04,2026-03-16
LOT_202603_0054,4,CMP,EQP_CMP_01,RCP_CMP_02,2026-03-17
LOT_202603_0054,5,Inspection,EQP_INSP_03,RCP_INS_01,2026-03-18
LOT_202603_0055,1,Lithography,EQP_LITHO_03,RCP_LIT_03,2026-03-28
LOT_202603_0055,2,Etch,EQP_ETCH_03,RCP_ETC_03,2026-03-29
LOT_202603_0055,3,Deposition,EQP_DEP_01,RCP_DEP_04,2026-03-30
LOT_202603_0055,4,CMP,EQP_CMP_01,RCP_CMP_02,2026-03-31
LOT_202603_0055,5,Inspection,EQP_INSP_01,RCP_INS_01,2026-04-01
LOT_202603_0056,1,Lithography,EQP_LITHO_02,RCP_LIT_01,2026-03-05
LOT_202603_0056,2,Etch,EQP_ETCH_02,RCP_ETC_02,2026-03-06
LOT_202603_0056,3,Deposition,EQP_DEP_03,RCP_DEP_03,2026-03-07
LOT_202603_0056,4,CMP,EQP_CMP_02,RCP_CMP_02,2026-03-08
LOT_202603_0056,5,Inspection,EQP_INSP_02,RCP_INS_03,2026-03-09
LOT_202603_0057,1,Lithography,EQP_LITHO_03,RCP_LIT_02,2026-03-15
LOT_202603_0057,2,Etch,EQP_ETCH_04,RCP_ETC_03,2026-03-16
LOT_202603_0057,3,Deposition,EQP_DEP_03,RCP_DEP_02,2026-03-17
LOT_202603_0057,4,CMP,EQP_CMP_01,RCP_CMP_02,2026-03-18
LOT_202603_0057,5,Inspection,EQP_INSP_01,RCP_INS_01,2026-03-19
LOT_202603_0058,1,Lithography,EQP_LITHO_02,RCP_LIT_01,2026-03-17
LOT_202603_0058,2,Etch,EQP_ETCH_04,RCP_ETC_03,2026-03-18
LOT_202603_0058,3,Deposition,EQP_DEP_01,RCP_DEP_02,2026-03-19
LOT_202603_0058,4,CMP,EQP_CMP_02,RCP_CMP_01,2026-03-20
LOT_202603_0058,5,Inspection,EQP_INSP_03,RCP_INS_03,2026-03-21
LOT_202603_0059,1,Lithography,EQP_LITHO_04,RCP_LIT_02,2026-03-14
LOT_202603_0059,2,Etch,EQP_ETCH_03,RCP_ETC_02,2026-03-15
LOT_202603_0059,3,Deposition,EQP_DEP_02,RCP_DEP_02,2026-03-16
LOT_202603_0059,4,CMP,EQP_CMP_02,RCP_CMP_02,2026-03-17
LOT_202603_0059,5,Inspection,EQP_INSP_01,RCP_INS_01,2026-03-18
LOT_202603_0060,1,Lithography,EQP_LITHO_04,RCP_LIT_02,2026-03-20
LOT_202603_0060,2,Etch,EQP_ETCH_03,RCP_ETC_01,2026-03-21
LOT_202603_0060,3,Deposition,EQP_DEP_01,RCP_DEP_04,2026-03-22
LOT_202603_0060,4,CMP,EQP_CMP_03,RCP_CMP_02,2026-03-23
LOT_202603_0060,5,Inspection,EQP_INSP_01,RCP_INS_01,2026-03-24
LOT_202603_0061,1,Lithography,EQP_LITHO_04,RCP_LIT_02,2026-03-05
LOT_202603_0061,2,Etch,EQP_ETCH_03,RCP_ETC_02,2026-03-06
LOT_202603_0061,3,Deposition,EQP_DEP_03,RCP_DEP_02,2026-03-07
LOT_202603_0061,4,CMP,EQP_CMP_01,RCP_CMP_02,2026-03-08
LOT_202603_0061,5,Inspection,EQP_INSP_01,RCP_INS_03,2026-03-09
LOT_202603_0062,1,Lithography,EQP_LITHO_04,RCP_LIT_04,2026-03-12
LOT_202603_0062,2,Etch,EQP_ETCH_04,RCP_ETC_02,2026-03-13
LOT_202603_0062,3,Deposition,EQP_DEP_01,RCP_DEP_03,2026-03-14
LOT_202603_0062,4,CMP,EQP_CMP_01,RCP_CMP_02,2026-03-15
LOT_202603_0062,5,Inspection,EQP_INSP_02,RCP_INS_03,2026-03-16
LOT_202603_0063,1,Lithography,EQP_LITHO_02,RCP_LIT_01,2026-03-16
LOT_202603_0063,2,Etch,EQP_ETCH_01,RCP_ETC_04,2026-03-17
LOT_202603_0063,3,Deposition,EQP_DEP_02,RCP_DEP_01,2026-03-18
LOT_202603_0063,4,CMP,EQP_CMP_01,RCP_CMP_02,2026-03-19
LOT_202603_0063,5,Inspection,EQP_INSP_03,RCP_INS_03,2026-03-20
LOT_202603_0064,1,Lithography,EQP_LITHO_01,RCP_LIT_04,2026-03-26
LOT_202603_0064,2,Etch,EQP_ETCH_02,RCP_ETC_03,2026-03-27
