고객ID,성별,나이,가입채널,요금제,가입일,가입경과월,최근30일_로그인수,월평균사용시간,고객센터문의수,최근3개월_결제실패,이탈여부,이탈일
C1195,남,37,오프라인매장,베이직,2024-02-28,27,13,6.0,0,1,N,
C1196,여,47,소셜미디어,베이직,2026-04-12,1,14,36.2,0,0,N,
C1197,여,28,제휴이벤트,프리미엄,2024-01-06,29,8,9.5,0,0,N,
C1198,남,25,검색광고,프리미엄,2023-10-26,31,3,3.1,0,1,Y,2026-05-13
C1199,남,41,검색광고,스탠다드,2025-10-28,7,3,5.7,0,0,Y,2025-12-09
C1200,여,45,제휴이벤트,베이직,2026-01-10,4,16,11.5,1,2,N,
C1201,여,42,소셜미디어,프리미엄,2023-09-07,33,13,33.3,0,0,N,
C1202,여,28,검색광고,베이직,2025-02-28,15,14,21.1,1,0,N,
C1203,남,46,검색광고,베이직,2024-11-28,18,14,13.5,0,0,N,
C1204,남,29,지인추천,베이직,2024-01-21,28,3,3.0,3,0,Y,2025-07-15
C1205,남,32,제휴이벤트,프리미엄,2024-12-06,18,14,22.3,1,0,N,
C1206,남,27,검색광고,프리미엄,2025-05-31,12,6,15.8,0,0,N,
C1207,여,54,검색광고,스탠다드,2025-02-01,16,5,23.9,1,3,N,
C1208,남,46,소셜미디어,베이직,2024-12-05,18,16,21.1,0,0,N,
C1209,여,45,제휴이벤트,스탠다드,2025-12-30,5,3,4.7,0,3,Y,2026-03-21
C1210,여,53,소셜미디어,베이직,2024-01-27,28,2,10.2,1,0,Y,2026-05-02
C1211,여,69,제휴이벤트,프리미엄,2025-03-26,14,13,8.9,1,0,N,
C1212,남,19,제휴이벤트,베이직,2024-05-03,25,12,15.5,1,0,N,
C1213,여,29,소셜미디어,베이직,2026-04-02,1,3,6.6,1,0,Y,2026-05-01
C1214,여,31,제휴이벤트,스탠다드,2024-02-23,27,12,17.8,0,0,N,
C1215,여,28,오프라인매장,스탠다드,2025-12-14,5,2,3.4,0,0,Y,2026-05-13
C1216,남,25,지인추천,프리미엄,2025-04-04,14,11,32.5,0,0,N,
C1217,남,34,소셜미디어,베이직,2024-01-15,28,19,11.7,0,0,N,
C1218,여,23,제휴이벤트,프리미엄,2025-08-17,9,11,6.6,1,0,N,
C1219,남,42,오프라인매장,베이직,2024-02-12,27,14,21.5,1,0,N,
C1220,남,39,오프라인매장,베이직,2024-03-06,27,9,43.9,0,0,N,
C1221,남,44,제휴이벤트,스탠다드,2024-06-02,24,3,2.4,3,0,Y,2025-07-07
C1222,여,44,지인추천,베이직,2025-05-27,12,6,10.4,2,0,N,
C1223,여,45,제휴이벤트,스탠다드,2024-07-21,22,14,28.3,0,1,N,
C1224,남,34,제휴이벤트,베이직,2025-01-27,16,14,18.4,1,1,N,
C1225,여,63,검색광고,베이직,2025-01-09,16,22,8.8,1,0,N,
C1226,남,41,검색광고,스탠다드,2023-12-27,29,10,16.5,0,0,N,
C1227,여,19,소셜미디어,베이직,2024-02-03,28,4,15.4,1,1,Y,2026-01-22
C1228,여,26,제휴이벤트,스탠다드,2024-04-22,25,3,13.7,0,2,Y,2026-04-24
C1229,남,19,소셜미디어,스탠다드,2024-01-23,28,8,58.0,1,0,N,
C1230,남,38,오프라인매장,베이직,2026-02-03,3,7,26.0,1,0,N,
C1231,남,37,검색광고,스탠다드,2024-07-11,22,12,14.0,1,0,N,
C1232,여,32,소셜미디어,베이직,2024-08-05,22,3,11.2,1,3,Y,2026-05-07
C1233,여,62,지인추천,베이직,2025-05-16,12,11,12.4,0,0,N,
C1234,여,45,검색광고,베이직,2025-09-17,8,15,17.2,0,0,N,
C1235,여,47,제휴이벤트,프리미엄,2025-06-02,12,4,5.0,1,1,Y,2026-04-28
C1236,남,27,검색광고,스탠다드,2025-01-08,16,11,25.9,0,0,N,
C1237,여,26,제휴이벤트,스탠다드,2026-04-05,1,15,24.8,1,0,N,
C1238,남,38,검색광고,프리미엄,2026-01-14,4,16,13.1,0,0,N,
C1239,남,40,제휴이벤트,베이직,2024-01-02,29,17,31.2,0,0,N,
C1240,여,19,지인추천,프리미엄,2023-11-18,30,12,36.1,1,0,N,
C1241,여,36,검색광고,스탠다드,2024-07-23,22,2,5.6,1,1,Y,2026-01-27
C1242,남,38,검색광고,프리미엄,2025-11-06,6,14,22.5,1,0,N,
C1243,여,35,검색광고,프리미엄,2026-03-24,2,3,14.9,2,0,Y,2026-04-27
C1244,여,28,지인추천,프리미엄,2025-06-18,11,10,21.5,1,0,N,
C1245,여,32,제휴이벤트,베이직,2025-06-04,12,16,15.5,1,0,N,
C1246,여,36,소셜미디어,스탠다드,2024-02-04,28,8,17.6,2,0,N,
C1247,남,39,소셜미디어,프리미엄,2025-02-20,15,8,14.0,0,0,N,
C1248,남,45,지인추천,스탠다드,2023-12-14,29,5,31.7,1,0,N,
C1249,남,51,지인추천,베이직,2024-12-26,17,11,29.8,0,1,N,
C1250,여,34,오프라인매장,프리미엄,2023-12-24,29,11,48.1,1,0,N,
C1251,여,33,지인추천,베이직,2023-08-20,33,9,12.2,0,0,N,
C1252,남,43,오프라인매장,스탠다드,2026-03-27,2,10,13.5,0,0,N,
C1253,남,45,제휴이벤트,스탠다드,2026-01-07,4,5,3.2,0,0,Y,2026-03-22
C1254,남,33,소셜미디어,베이직,2025-05-30,12,13,24.1,1,1,N,
C1255,여,47,검색광고,스탠다드,2025-03-28,14,11,9.7,0,0,N,
C1256,여,50,검색광고,베이직,2024-02-11,28,15,46.9,1,1,N,
C1257,남,54,지인추천,스탠다드,2025-01-29,16,12,11.5,1,0,N,
C1258,남,59,소셜미디어,프리미엄,2025-08-05,9,11,48.3,0,3,N,
C1259,여,28,제휴이벤트,베이직,2024-12-26,17,15,2.5,1,0,N,
C1260,남,38,지인추천,스탠다드,2024-03-27,26,9,5.7,1,0,N,
C1261,여,38,지인추천,베이직,2024-07-22,22,19,9.5,0,0,N,
C1262,남,37,오프라인매장,프리미엄,2025-11-12,6,8,21.2,0,0,N,
C1263,남,30,소셜미디어,프리미엄,2024-02-27,27,13,17.5,0,0,N,
C1264,여,20,제휴이벤트,베이직,2026-03-20,2,8,11.4,0,0,N,
C1265,남,39,검색광고,스탠다드,2025-08-13,9,14,17.0,2,0,N,
C1266,남,29,지인추천,스탠다드,2026-01-04,4,11,13.2,0,0,N,
C1267,남,39,제휴이벤트,스탠다드,2024-11-24,18,3,9.5,0,0,Y,2025-01-19
C1268,남,28,오프라인매장,스탠다드,2024-01-25,28,15,9.9,0,0,N,
C1269,남,25,제휴이벤트,스탠다드,2023-07-07,35,17,19.7,1,0,N,
C1270,남,41,소셜미디어,스탠다드,2024-12-21,17,11,20.1,0,2,N,
C1271,남,40,제휴이벤트,베이직,2024-07-30,22,12,17.8,0,0,N,
C1272,남,45,지인추천,베이직,2023-09-30,32,3,8.9,0,0,Y,2026-04-30
C1273,여,64,지인추천,프리미엄,2026-02-13,3,12,16.9,0,0,N,
C1274,여,41,검색광고,베이직,2026-03-30,2,4,10.3,3,0,Y,2026-04-20
C1275,남,44,검색광고,스탠다드,2024-07-03,23,6,17.8,0,0,N,
C1276,남,25,지인추천,베이직,2025-05-12,12,12,32.4,1,1,N,
C1277,여,23,검색광고,프리미엄,2024-08-14,21,7,19.6,0,0,N,
C1278,여,57,오프라인매장,스탠다드,2024-11-11,18,14,31.4,0,2,N,
C1279,여,27,제휴이벤트,베이직,2025-03-26,14,16,13.3,2,0,N,
C1280,남,25,제휴이벤트,베이직,2024-08-17,21,3,4.2,3,3,Y,2026-02-12
C1281,남,38,검색광고,베이직,2025-10-01,8,9,25.7,0,0,N,
C1282,남,37,제휴이벤트,프리미엄,2023-12-19,29,13,17.9,1,0,N,
C1283,남,27,검색광고,스탠다드,2025-05-12,12,11,4.6,0,0,N,
C1284,여,34,지인추천,스탠다드,2026-04-13,1,17,12.1,1,0,N,
C1285,남,53,제휴이벤트,스탠다드,2025-11-22,6,7,21.2,0,0,N,
C1286,남,28,검색광고,베이직,2023-07-19,34,4,17.1,1,0,N,
C1287,남,21,검색광고,베이직,2023-09-30,32,13,11.8,1,0,N,
C1288,여,49,검색광고,베이직,2025-03-31,14,10,17.8,0,0,N,
C1289,남,44,지인추천,베이직,2026-02-09,3,3,7.8,0,1,Y,2026-04-05
C1290,여,31,제휴이벤트,스탠다드,2025-11-15,6,13,6.6,0,0,N,
C1291,남,19,검색광고,프리미엄,2026-01-18,4,14,31.0,0,0,N,
C1292,여,29,검색광고,프리미엄,2023-11-07,31,5,34.4,2,0,N,
C1293,남,37,지인추천,프리미엄,2024-12-04,18,15,12.1,0,0,N,
C1294,여,52,검색광고,스탠다드,2025-07-13,10,3,17.2,1,1,Y,2026-02-07
C1295,여,26,오프라인매장,베이직,2025-03-27,14,8,17.2,0,1,N,
C1296,여,37,제휴이벤트,스탠다드,2025-09-05,8,18,12.8,0,0,N,
C1297,여,46,오프라인매장,프리미엄,2024-01-13,28,11,12.6,0,0,N,
C1298,여,19,제휴이벤트,스탠다드,2024-09-29,20,12,41.7,0,2,N,
C1299,여,50,지인추천,스탠다드,2024-09-20,20,12,10.0,0,0,N,
C1300,여,24,제휴이벤트,스탠다드,2026-02-25,3,9,19.6,1,1,N,
C1301,남,42,검색광고,스탠다드,2024-01-02,29,12,20.8,0,0,N,
C1302,여,41,검색광고,프리미엄,2024-05-13,24,21,25.8,0,0,N,
C1303,여,51,오프라인매장,스탠다드,2023-06-24,35,9,18.8,0,0,N,
C1304,여,45,검색광고,베이직,2023-11-09,31,13,40.2,2,0,N,
C1305,남,19,제휴이벤트,베이직,2026-04-10,1,3,17.6,0,1,Y,2026-05-05
C1306,남,29,오프라인매장,스탠다드,2025-11-19,6,11,35.6,0,0,N,
C1307,여,40,제휴이벤트,베이직,2024-03-02,27,14,21.8,0,0,N,
C1308,남,36,소셜미디어,프리미엄,2025-06-17,11,8,28.4,0,0,N,
C1309,남,44,지인추천,스탠다드,2025-02-21,15,13,15.4,1,1,N,
C1310,남,47,오프라인매장,스탠다드,2026-01-21,4,12,31.5,0,2,N,
C1311,남,45,검색광고,베이직,2024-04-15,25,12,13.2,0,0,N,
C1312,남,35,지인추천,스탠다드,2026-04-24,1,18,11.0,0,1,N,
C1313,남,19,오프라인매장,스탠다드,2024-06-29,23,11,10.8,0,0,N,
C1314,남,33,제휴이벤트,베이직,2025-07-03,11,15,24.1,2,1,N,
C1315,남,43,오프라인매장,프리미엄,2024-07-28,22,18,37.8,0,0,N,
C1316,남,25,검색광고,베이직,2025-05-16,12,9,39.3,0,0,N,
C1317,여,46,지인추천,베이직,2024-05-22,24,10,4.8,0,0,N,
C1318,남,49,지인추천,베이직,2025-11-15,6,16,29.3,1,0,N,
C1319,여,40,검색광고,스탠다드,2025-04-09,13,10,10.6,2,0,N,
C1320,여,19,소셜미디어,스탠다드,2024-04-03,26,2,21.0,3,0,Y,2026-02-23
C1321,남,23,소셜미디어,프리미엄,2026-03-20,2,10,8.7,1,0,N,
C1322,남,61,검색광고,베이직,2025-06-25,11,16,6.7,0,1,N,
C1323,여,31,지인추천,프리미엄,2024-08-30,21,15,29.6,1,0,N,
