Lot_ID,Process_Step,Equipment_ID,CD_Mean_nm,Overlay_nm,Film_Thickness_nm,Etch_Depth_nm,Metrology_Issue
LOT_202603_0009,CMP,EQP_CMP_01,38.76,2.42,102.29,57.54,Normal
LOT_202603_0010,Lithography,EQP_LITHO_02,39.84,1.43,97.49,58.52,Normal
LOT_202603_0010,Etch,EQP_ETCH_03,39.76,1.77,98.94,62.75,Etch drift
LOT_202603_0010,Deposition,EQP_DEP_02,38.67,1.58,101.03,57.2,Normal
LOT_202603_0010,CMP,EQP_CMP_02,38.22,2.28,100.41,57.43,Normal
LOT_202603_0011,Lithography,EQP_LITHO_04,36.99,3.92,101.8,59.17,Overlay shift
LOT_202603_0011,Etch,EQP_ETCH_03,40.5,2.04,100.71,61.3,Etch drift
LOT_202603_0011,Deposition,EQP_DEP_03,38.39,1.93,99.55,58.55,Normal
LOT_202603_0011,CMP,EQP_CMP_02,39.64,1.94,102.99,57.59,Normal
LOT_202603_0012,Lithography,EQP_LITHO_02,38.99,1.96,95.15,59.33,Normal
LOT_202603_0012,Etch,EQP_ETCH_02,39.52,2.17,100.13,58.77,Normal
LOT_202603_0012,Deposition,EQP_DEP_01,37.91,2.06,101.59,56.12,Normal
LOT_202603_0012,CMP,EQP_CMP_03,39.21,1.69,100.93,57.95,Normal
LOT_202603_0013,Lithography,EQP_LITHO_04,37.87,2.82,98.53,56.78,Normal
LOT_202603_0013,Etch,EQP_ETCH_03,39.71,3.5,99.41,58.23,Normal
LOT_202603_0013,Deposition,EQP_DEP_01,38.42,2.34,97.86,53.62,Normal
LOT_202603_0013,CMP,EQP_CMP_02,39.31,2.71,95.27,56.49,Normal
LOT_202603_0014,Lithography,EQP_LITHO_01,39.43,3.23,100.04,56.91,Normal
LOT_202603_0014,Etch,EQP_ETCH_02,38.87,2.92,98.71,56.8,Normal
LOT_202603_0014,Deposition,EQP_DEP_01,38.66,1.87,100.25,60.44,Normal
LOT_202603_0014,CMP,EQP_CMP_01,39.23,2.19,99.42,55.66,Normal
LOT_202603_0015,Lithography,EQP_LITHO_02,39.62,2.26,99.64,62.79,Normal
LOT_202603_0015,Etch,EQP_ETCH_02,39.21,1.96,99.15,59.72,Normal
LOT_202603_0015,Deposition,EQP_DEP_03,39.08,1.65,101.84,57.0,Normal
LOT_202603_0015,CMP,EQP_CMP_01,40.31,2.79,99.11,59.92,Normal
LOT_202603_0016,Lithography,EQP_LITHO_03,39.05,2.68,100.97,56.73,Normal
LOT_202603_0016,Etch,EQP_ETCH_04,38.55,2.76,99.33,57.39,Normal
LOT_202603_0016,Deposition,EQP_DEP_03,38.33,2.49,104.13,56.4,Normal
LOT_202603_0016,CMP,EQP_CMP_02,39.02,2.94,99.84,58.68,Normal
LOT_202603_0017,Lithography,EQP_LITHO_04,38.26,3.7,99.63,59.48,Overlay shift
LOT_202603_0017,Etch,EQP_ETCH_03,40.98,3.47,101.16,62.95,Etch drift
LOT_202603_0017,Deposition,EQP_DEP_02,39.19,2.44,109.03,58.53,Thickness high
LOT_202603_0017,CMP,EQP_CMP_03,38.88,2.89,99.82,54.64,Normal
LOT_202603_0018,Lithography,EQP_LITHO_01,38.65,2.75,101.09,56.74,Normal
LOT_202603_0018,Etch,EQP_ETCH_03,38.6,2.12,98.67,54.96,Normal
LOT_202603_0018,Deposition,EQP_DEP_02,39.85,2.98,102.0,57.35,Normal
LOT_202603_0018,CMP,EQP_CMP_02,39.03,2.36,100.74,56.81,Normal
LOT_202603_0019,Lithography,EQP_LITHO_04,39.84,1.8,99.2,58.79,Normal
LOT_202603_0019,Etch,EQP_ETCH_03,40.64,1.69,100.25,64.33,Etch drift
LOT_202603_0019,Deposition,EQP_DEP_03,39.72,1.71,101.45,59.0,Normal
LOT_202603_0019,CMP,EQP_CMP_01,38.15,2.68,100.55,58.98,Normal
LOT_202603_0020,Lithography,EQP_LITHO_04,38.32,2.37,96.59,54.58,Normal
LOT_202603_0020,Etch,EQP_ETCH_03,37.48,2.68,98.93,57.86,Normal
LOT_202603_0020,Deposition,EQP_DEP_02,38.84,2.49,99.13,59.13,Normal
LOT_202603_0020,CMP,EQP_CMP_03,39.52,2.58,98.13,59.63,Normal
LOT_202603_0021,Lithography,EQP_LITHO_02,38.62,2.66,100.73,60.76,Normal
LOT_202603_0021,Etch,EQP_ETCH_04,38.84,2.14,99.96,57.55,Normal
LOT_202603_0021,Deposition,EQP_DEP_02,39.56,1.57,97.89,56.4,Normal
LOT_202603_0021,CMP,EQP_CMP_02,39.3,2.7,101.8,58.32,Normal
LOT_202603_0022,Lithography,EQP_LITHO_01,39.51,2.01,100.17,57.3,Normal
LOT_202603_0022,Etch,EQP_ETCH_04,38.49,2.32,100.7,59.75,Normal
LOT_202603_0022,Deposition,EQP_DEP_01,39.19,2.59,101.31,62.03,Normal
LOT_202603_0022,CMP,EQP_CMP_01,37.73,1.99,102.95,57.47,Normal
LOT_202603_0023,Lithography,EQP_LITHO_01,39.62,2.4,104.21,56.33,Normal
LOT_202603_0023,Etch,EQP_ETCH_01,39.86,3.09,97.97,59.17,Normal
LOT_202603_0023,Deposition,EQP_DEP_02,38.32,2.31,99.49,54.4,Normal
LOT_202603_0023,CMP,EQP_CMP_01,39.09,2.55,100.09,60.54,Normal
LOT_202603_0024,Lithography,EQP_LITHO_04,38.56,2.39,98.52,56.02,Normal
LOT_202603_0024,Etch,EQP_ETCH_02,38.85,1.37,100.9,56.14,Normal
LOT_202603_0024,Deposition,EQP_DEP_03,38.37,2.0,99.59,58.01,Normal
LOT_202603_0024,CMP,EQP_CMP_01,39.76,2.04,100.96,62.1,Normal
LOT_202603_0025,Lithography,EQP_LITHO_03,39.26,2.22,98.44,57.71,Normal
LOT_202603_0025,Etch,EQP_ETCH_03,38.38,2.42,100.21,54.76,Normal
LOT_202603_0025,Deposition,EQP_DEP_02,40.33,2.27,98.58,55.73,Normal
LOT_202603_0025,CMP,EQP_CMP_01,39.58,2.22,101.54,60.3,Normal
LOT_202603_0026,Lithography,EQP_LITHO_03,39.64,2.06,100.29,57.08,Normal
LOT_202603_0026,Etch,EQP_ETCH_02,38.5,2.45,98.34,54.69,Normal
LOT_202603_0026,Deposition,EQP_DEP_03,38.38,2.16,103.04,57.26,Normal
LOT_202603_0026,CMP,EQP_CMP_03,39.36,2.22,102.45,59.74,Normal
LOT_202603_0027,Lithography,EQP_LITHO_04,39.82,1.52,100.41,59.14,Normal
LOT_202603_0027,Etch,EQP_ETCH_03,39.81,2.46,97.71,62.01,Etch drift
LOT_202603_0027,Deposition,EQP_DEP_01,40.87,2.08,96.08,59.1,Normal
LOT_202603_0027,CMP,EQP_CMP_02,39.6,2.88,100.94,59.27,Normal
LOT_202603_0028,Lithography,EQP_LITHO_01,40.29,1.96,98.11,56.36,Normal
LOT_202603_0028,Etch,EQP_ETCH_03,38.81,2.95,101.06,58.73,Normal
LOT_202603_0028,Deposition,EQP_DEP_01,38.91,2.66,101.59,55.38,Normal
LOT_202603_0028,CMP,EQP_CMP_01,39.91,1.55,102.07,59.69,Normal
LOT_202603_0029,Lithography,EQP_LITHO_04,38.24,2.12,97.79,57.68,Normal
LOT_202603_0029,Etch,EQP_ETCH_03,38.32,2.11,100.1,57.76,Normal
LOT_202603_0029,Deposition,EQP_DEP_03,38.61,2.21,96.63,56.79,Normal
LOT_202603_0029,CMP,EQP_CMP_01,39.68,3.03,97.53,57.11,Normal
LOT_202603_0030,Lithography,EQP_LITHO_03,38.98,2.43,98.38,58.64,Normal
LOT_202603_0030,Etch,EQP_ETCH_04,38.67,2.29,101.09,58.01,Normal
LOT_202603_0030,Deposition,EQP_DEP_01,38.69,2.25,99.82,57.44,Normal
LOT_202603_0030,CMP,EQP_CMP_02,38.82,3.02,101.12,57.56,Normal
LOT_202603_0031,Lithography,EQP_LITHO_01,39.49,2.15,102.35,58.55,Normal
LOT_202603_0031,Etch,EQP_ETCH_02,38.92,2.5,96.86,56.31,Normal
LOT_202603_0031,Deposition,EQP_DEP_01,38.16,2.36,103.47,61.35,Normal
LOT_202603_0031,CMP,EQP_CMP_02,39.45,2.53,96.4,57.19,Normal
LOT_202603_0032,Lithography,EQP_LITHO_04,38.45,3.99,99.66,57.29,Overlay shift
LOT_202603_0032,Etch,EQP_ETCH_03,39.01,2.64,97.85,62.61,Etch drift
LOT_202603_0032,Deposition,EQP_DEP_02,39.2,2.7,109.11,59.69,Thickness high
LOT_202603_0032,CMP,EQP_CMP_03,38.98,2.04,96.95,58.36,Normal
LOT_202603_0033,Lithography,EQP_LITHO_04,39.19,3.1,99.28,58.42,Normal
LOT_202603_0033,Etch,EQP_ETCH_04,39.44,2.13,100.75,57.96,Normal
LOT_202603_0033,Deposition,EQP_DEP_01,39.79,2.28,96.45,59.89,Normal
LOT_202603_0033,CMP,EQP_CMP_03,38.37,2.01,98.81,60.06,Normal
LOT_202603_0034,Lithography,EQP_LITHO_04,37.51,3.71,102.11,58.33,Normal
LOT_202603_0034,Etch,EQP_ETCH_01,39.84,2.15,100.83,60.24,Normal
LOT_202603_0034,Deposition,EQP_DEP_03,39.82,2.21,99.73,59.51,Normal
LOT_202603_0034,CMP,EQP_CMP_03,40.63,2.39,103.91,57.64,Normal
LOT_202603_0035,Lithography,EQP_LITHO_04,39.67,4.64,99.18,56.88,Overlay shift
LOT_202603_0035,Etch,EQP_ETCH_04,38.37,1.99,98.93,59.28,Normal
LOT_202603_0035,Deposition,EQP_DEP_01,39.36,2.62,100.84,57.11,Normal
LOT_202603_0035,CMP,EQP_CMP_01,39.49,2.83,101.17,58.67,Normal
LOT_202603_0036,Lithography,EQP_LITHO_04,38.46,3.92,98.36,57.96,Overlay shift
LOT_202603_0036,Etch,EQP_ETCH_03,38.87,2.05,100.21,57.8,Normal
LOT_202603_0036,Deposition,EQP_DEP_03,37.67,2.4,100.0,56.77,Normal
LOT_202603_0036,CMP,EQP_CMP_01,39.46,2.72,96.78,56.86,Normal
LOT_202603_0037,Lithography,EQP_LITHO_02,38.46,1.88,101.66,57.71,Normal
LOT_202603_0037,Etch,EQP_ETCH_01,38.81,1.4,101.27,56.14,Normal
LOT_202603_0037,Deposition,EQP_DEP_03,39.04,2.42,102.72,56.04,Normal
LOT_202603_0037,CMP,EQP_CMP_03,36.89,2.38,103.6,59.86,Normal
LOT_202603_0038,Lithography,EQP_LITHO_04,39.15,2.08,101.61,56.54,Normal
LOT_202603_0038,Etch,EQP_ETCH_04,39.17,2.92,97.69,58.1,Normal
LOT_202603_0038,Deposition,EQP_DEP_01,38.48,2.7,96.33,57.96,Normal
LOT_202603_0038,CMP,EQP_CMP_03,39.23,1.87,98.75,58.02,Normal
LOT_202603_0039,Lithography,EQP_LITHO_04,39.67,3.32,98.28,59.69,Overlay shift
LOT_202603_0039,Etch,EQP_ETCH_02,39.51,2.08,102.05,57.0,Normal
LOT_202603_0039,Deposition,EQP_DEP_03,38.89,2.73,99.55,59.13,Normal
LOT_202603_0039,CMP,EQP_CMP_01,38.95,3.19,103.14,56.01,Normal
LOT_202603_0040,Lithography,EQP_LITHO_02,39.37,1.93,100.38,58.1,Normal
LOT_202603_0040,Etch,EQP_ETCH_01,38.26,2.78,100.41,57.57,Normal
LOT_202603_0040,Deposition,EQP_DEP_02,38.69,2.36,100.82,57.81,Normal
LOT_202603_0040,CMP,EQP_CMP_03,37.99,1.27,98.9,56.17,Normal
LOT_202603_0041,Lithography,EQP_LITHO_01,38.64,2.23,99.09,60.18,Normal
LOT_202603_0041,Etch,EQP_ETCH_03,40.4,2.44,101.24,61.05,Etch drift
LOT_202603_0041,Deposition,EQP_DEP_01,39.68,3.02,98.52,57.37,Normal
LOT_202603_0041,CMP,EQP_CMP_01,39.89,2.66,102.15,55.95,Normal
LOT_202603_0042,Lithography,EQP_LITHO_01,40.08,1.96,100.38,57.78,Normal
LOT_202603_0042,Etch,EQP_ETCH_04,38.39,1.66,96.51,58.18,Normal
LOT_202603_0042,Deposition,EQP_DEP_02,37.93,1.79,99.56,54.04,Normal
LOT_202603_0042,CMP,EQP_CMP_03,40.69,2.65,99.96,57.61,Normal
LOT_202603_0043,Lithography,EQP_LITHO_03,39.02,2.55,97.64,59.67,Normal
LOT_202603_0043,Etch,EQP_ETCH_01,39.5,2.62,100.88,58.03,Normal
LOT_202603_0043,Deposition,EQP_DEP_02,39.47,2.57,104.17,57.14,Thickness high
LOT_202603_0043,CMP,EQP_CMP_01,39.07,3.0,97.52,55.8,Normal
LOT_202603_0044,Lithography,EQP_LITHO_02,39.12,2.32,100.35,58.37,Normal
LOT_202603_0044,Etch,EQP_ETCH_03,40.04,2.97,96.8,60.21,Etch drift
LOT_202603_0044,Deposition,EQP_DEP_01,40.17,2.25,98.61,57.94,Normal
LOT_202603_0044,CMP,EQP_CMP_01,39.38,2.32,99.59,57.02,Normal
LOT_202603_0045,Lithography,EQP_LITHO_01,38.54,2.03,100.68,56.51,Normal
LOT_202603_0045,Etch,EQP_ETCH_03,39.28,2.94,100.65,57.45,Normal
LOT_202603_0045,Deposition,EQP_DEP_03,40.11,1.84,98.38,56.11,Normal
LOT_202603_0045,CMP,EQP_CMP_03,38.84,2.51,101.97,57.89,Normal
LOT_202603_0046,Lithography,EQP_LITHO_03,38.78,2.37,98.33,61.13,Normal
LOT_202603_0046,Etch,EQP_ETCH_01,37.87,2.38,104.05,58.01,Normal
LOT_202603_0046,Deposition,EQP_DEP_03,38.87,2.14,99.64,60.06,Normal
LOT_202603_0046,CMP,EQP_CMP_03,37.45,2.99,97.15,57.6,Normal
LOT_202603_0047,Lithography,EQP_LITHO_02,38.7,2.56,96.8,58.69,Normal
LOT_202603_0047,Etch,EQP_ETCH_02,40.42,1.69,100.38,57.01,Normal
LOT_202603_0047,Deposition,EQP_DEP_01,39.3,2.31,98.72,58.73,Normal
LOT_202603_0047,CMP,EQP_CMP_01,40.26,2.21,101.44,56.06,Normal
LOT_202603_0048,Lithography,EQP_LITHO_01,38.33,2.51,102.97,58.53,Normal
LOT_202603_0048,Etch,EQP_ETCH_02,38.78,2.3,97.5,58.91,Normal
LOT_202603_0048,Deposition,EQP_DEP_03,39.62,2.1,99.06,58.4,Normal
LOT_202603_0048,CMP,EQP_CMP_01,38.69,2.27,104.2,57.63,Normal
LOT_202603_0049,Lithography,EQP_LITHO_02,38.75,2.01,101.49,57.73,Normal
LOT_202603_0049,Etch,EQP_ETCH_03,38.55,2.89,102.84,57.1,Normal
LOT_202603_0049,Deposition,EQP_DEP_01,39.07,2.56,102.38,57.11,Normal
LOT_202603_0049,CMP,EQP_CMP_01,39.28,1.59,102.76,56.13,Normal
LOT_202603_0050,Lithography,EQP_LITHO_01,38.5,2.03,96.95,58.05,Normal
LOT_202603_0050,Etch,EQP_ETCH_04,39.15,2.21,96.92,60.98,Normal
LOT_202603_0050,Deposition,EQP_DEP_03,39.38,3.49,98.39,59.44,Normal
LOT_202603_0050,CMP,EQP_CMP_01,39.55,2.17,102.82,57.39,Normal
LOT_202603_0051,Lithography,EQP_LITHO_04,38.75,2.2,100.82,56.01,Overlay shift
LOT_202603_0051,Etch,EQP_ETCH_02,38.74,2.5,100.02,59.06,Normal
LOT_202603_0051,Deposition,EQP_DEP_03,39.89,2.13,99.04,59.44,Normal
LOT_202603_0051,CMP,EQP_CMP_01,39.73,2.63,98.1,58.63,Normal
LOT_202603_0052,Lithography,EQP_LITHO_04,39.08,4.08,98.85,55.5,Overlay shift
LOT_202603_0052,Etch,EQP_ETCH_01,39.48,1.15,98.54,56.47,Normal
LOT_202603_0052,Deposition,EQP_DEP_02,38.28,1.96,102.43,59.23,Normal
LOT_202603_0052,CMP,EQP_CMP_03,37.79,2.0,102.39,56.53,Normal
LOT_202603_0053,Lithography,EQP_LITHO_03,38.67,2.51,101.57,57.62,Normal
LOT_202603_0053,Etch,EQP_ETCH_04,38.58,2.94,103.48,59.47,Normal
LOT_202603_0053,Deposition,EQP_DEP_01,39.06,1.94,98.34,58.78,Normal
LOT_202603_0053,CMP,EQP_CMP_03,39.29,2.93,101.3,55.75,Normal
LOT_202603_0054,Lithography,EQP_LITHO_02,39.74,1.85,99.23,58.38,Normal
LOT_202603_0054,Etch,EQP_ETCH_01,40.4,3.7,101.21,57.73,Normal
LOT_202603_0054,Deposition,EQP_DEP_03,39.37,2.7,99.36,60.69,Normal
LOT_202603_0054,CMP,EQP_CMP_01,39.16,2.52,101.33,58.63,Normal
LOT_202603_0055,Lithography,EQP_LITHO_03,39.59,2.02,98.88,56.35,Normal
LOT_202603_0055,Etch,EQP_ETCH_03,39.31,2.65,100.92,60.51,Normal
LOT_202603_0055,Deposition,EQP_DEP_01,37.33,2.27,100.91,57.2,Normal
LOT_202603_0055,CMP,EQP_CMP_01,38.5,2.95,99.88,58.68,Normal
LOT_202603_0056,Lithography,EQP_LITHO_02,39.54,1.85,100.39,59.98,Normal
LOT_202603_0056,Etch,EQP_ETCH_02,40.27,2.32,99.52,58.4,Normal
LOT_202603_0056,Deposition,EQP_DEP_03,39.17,2.92,98.01,57.58,Normal
LOT_202603_0056,CMP,EQP_CMP_02,38.22,1.84,100.75,59.21,Normal
LOT_202603_0057,Lithography,EQP_LITHO_03,38.55,2.65,102.22,60.9,Normal
LOT_202603_0057,Etch,EQP_ETCH_04,39.05,2.01,98.0,56.35,Normal
LOT_202603_0057,Deposition,EQP_DEP_03,39.87,1.62,102.44,56.7,Normal
LOT_202603_0057,CMP,EQP_CMP_01,38.52,2.23,98.59,59.4,Normal
LOT_202603_0058,Lithography,EQP_LITHO_02,40.27,2.0,99.14,57.76,Normal
LOT_202603_0058,Etch,EQP_ETCH_04,39.38,2.23,102.77,59.72,Normal
LOT_202603_0058,Deposition,EQP_DEP_01,38.17,2.53,103.04,57.26,Normal
LOT_202603_0058,CMP,EQP_CMP_02,38.79,2.06,98.99,55.5,Normal
LOT_202603_0059,Lithography,EQP_LITHO_04,38.07,2.33,103.03,57.08,Normal
LOT_202603_0059,Etch,EQP_ETCH_03,38.92,1.88,97.01,60.99,Etch drift
LOT_202603_0059,Deposition,EQP_DEP_02,39.66,1.72,104.4,58.59,Thickness high
LOT_202603_0059,CMP,EQP_CMP_02,38.94,2.38,100.39,56.78,Normal
LOT_202603_0060,Lithography,EQP_LITHO_04,40.05,2.86,102.38,59.52,Normal
LOT_202603_0060,Etch,EQP_ETCH_03,38.21,1.89,102.04,58.41,Normal
LOT_202603_0060,Deposition,EQP_DEP_01,38.85,2.42,103.33,59.09,Normal
LOT_202603_0060,CMP,EQP_CMP_03,38.39,3.06,100.09,57.62,Normal
LOT_202603_0061,Lithography,EQP_LITHO_04,38.77,1.57,99.78,58.75,Normal
LOT_202603_0061,Etch,EQP_ETCH_03,41.13,1.84,99.95,62.24,Etch drift
LOT_202603_0061,Deposition,EQP_DEP_03,37.88,2.1,103.35,57.26,Normal
LOT_202603_0061,CMP,EQP_CMP_01,39.01,2.26,103.14,59.94,Normal
LOT_202603_0062,Lithography,EQP_LITHO_04,39.57,3.26,100.72,58.85,Overlay shift
LOT_202603_0062,Etch,EQP_ETCH_04,38.51,1.91,103.41,57.55,Normal
LOT_202603_0062,Deposition,EQP_DEP_01,40.13,2.75,100.82,58.68,Normal
LOT_202603_0062,CMP,EQP_CMP_01,38.02,2.39,102.83,59.02,Normal
LOT_202603_0063,Lithography,EQP_LITHO_02,39.11,3.07,99.63,57.07,Normal
LOT_202603_0063,Etch,EQP_ETCH_01,39.11,2.64,96.56,58.43,Normal
LOT_202603_0063,Deposition,EQP_DEP_02,39.57,2.18,102.21,58.96,Normal
LOT_202603_0063,CMP,EQP_CMP_01,38.06,2.61,98.79,60.58,Normal
LOT_202603_0064,Lithography,EQP_LITHO_01,40.39,1.96,98.9,59.29,Normal
LOT_202603_0064,Etch,EQP_ETCH_02,38.73,2.28,100.05,55.12,Normal
LOT_202603_0064,Deposition,EQP_DEP_02,38.99,1.99,99.01,60.17,Normal
LOT_202603_0064,CMP,EQP_CMP_02,38.51,2.08,101.09,56.44,Normal
LOT_202603_0065,Lithography,EQP_LITHO_04,39.1,3.82,98.61,58.49,Overlay shift
LOT_202603_0065,Etch,EQP_ETCH_02,39.07,1.55,95.71,58.8,Normal
LOT_202603_0065,Deposition,EQP_DEP_03,39.73,2.09,98.66,59.51,Normal
LOT_202603_0065,CMP,EQP_CMP_01,38.2,1.69,101.42,58.01,Normal
LOT_202603_0066,Lithography,EQP_LITHO_02,39.75,1.34,97.2,58.02,Normal
LOT_202603_0066,Etch,EQP_ETCH_03,39.29,2.68,100.35,58.25,Normal
LOT_202603_0066,Deposition,EQP_DEP_01,40.44,1.79,100.95,56.61,Normal
LOT_202603_0066,CMP,EQP_CMP_01,39.39,1.89,99.17,57.56,Normal
LOT_202603_0067,Lithography,EQP_LITHO_03,39.68,2.71,97.51,58.08,Normal
LOT_202603_0067,Etch,EQP_ETCH_03,39.7,1.73,99.57,61.75,Etch drift
LOT_202603_0067,Deposition,EQP_DEP_03,38.9,2.03,98.53,56.95,Normal
LOT_202603_0067,CMP,EQP_CMP_03,39.08,2.5,95.82,60.12,Normal
LOT_202603_0068,Lithography,EQP_LITHO_02,39.94,1.25,102.17,59.58,Normal
LOT_202603_0068,Etch,EQP_ETCH_01,39.0,1.72,102.03,57.64,Normal
LOT_202603_0068,Deposition,EQP_DEP_01,39.38,3.3,100.5,56.62,Normal
LOT_202603_0068,CMP,EQP_CMP_01,38.76,1.94,100.87,56.79,Normal
LOT_202603_0069,Lithography,EQP_LITHO_03,38.67,1.72,99.74,58.27,Normal
LOT_202603_0069,Etch,EQP_ETCH_04,37.12,2.42,99.91,56.85,Normal
LOT_202603_0069,Deposition,EQP_DEP_01,40.42,2.73,97.81,59.26,Normal
LOT_202603_0069,CMP,EQP_CMP_01,39.87,2.36,100.72,58.51,Normal
LOT_202603_0070,Lithography,EQP_LITHO_04,37.54,4.1,99.52,60.15,Overlay shift
LOT_202603_0070,Etch,EQP_ETCH_03,38.94,2.76,99.63,56.95,Normal
LOT_202603_0070,Deposition,EQP_DEP_03,38.97,2.33,101.7,54.63,Normal
LOT_202603_0070,CMP,EQP_CMP_01,38.58,2.4,102.4,57.26,Normal
LOT_202603_0071,Lithography,EQP_LITHO_03,37.69,2.58,98.73,56.22,Normal
LOT_202603_0071,Etch,EQP_ETCH_03,38.56,2.22,98.79,54.69,Normal
LOT_202603_0071,Deposition,EQP_DEP_02,39.9,2.74,106.0,61.17,Thickness high
LOT_202603_0071,CMP,EQP_CMP_03,39.19,2.98,102.79,58.62,Normal
LOT_202603_0072,Lithography,EQP_LITHO_02,39.53,2.58,97.71,58.09,Normal
LOT_202603_0072,Etch,EQP_ETCH_02,39.75,2.99,98.56,58.79,Normal
LOT_202603_0072,Deposition,EQP_DEP_02,39.11,2.25,100.71,58.33,Normal
LOT_202603_0072,CMP,EQP_CMP_01,40.19,2.78,100.38,59.41,Normal
LOT_202603_0073,Lithography,EQP_LITHO_04,38.28,3.84,103.62,57.67,Overlay shift
LOT_202603_0073,Etch,EQP_ETCH_01,38.24,1.95,99.26,55.89,Normal
LOT_202603_0073,Deposition,EQP_DEP_03,39.01,2.71,98.18,60.28,Normal
LOT_202603_0073,CMP,EQP_CMP_01,39.36,2.76,98.68,59.28,Normal
LOT_202603_0074,Lithography,EQP_LITHO_04,38.24,4.12,100.34,58.83,Overlay shift
LOT_202603_0074,Etch,EQP_ETCH_04,39.42,1.87,100.93,55.95,Normal
LOT_202603_0074,Deposition,EQP_DEP_03,39.59,1.75,101.1,58.94,Normal
LOT_202603_0074,CMP,EQP_CMP_01,38.51,2.56,100.52,57.19,Normal
LOT_202603_0075,Lithography,EQP_LITHO_04,38.29,3.15,100.7,55.65,Overlay shift
LOT_202603_0075,Etch,EQP_ETCH_04,39.48,2.16,99.34,59.1,Normal
LOT_202603_0075,Deposition,EQP_DEP_02,39.23,2.44,105.22,55.7,Thickness high
LOT_202603_0075,CMP,EQP_CMP_02,39.53,2.58,97.97,57.63,Normal
LOT_202603_0076,Lithography,EQP_LITHO_04,38.97,3.96,100.67,60.15,Overlay shift
LOT_202603_0076,Etch,EQP_ETCH_02,39.44,2.9,100.77,59.64,Normal
LOT_202603_0076,Deposition,EQP_DEP_01,40.41,2.76,100.5,59.57,Normal
LOT_202603_0076,CMP,EQP_CMP_03,39.1,2.31,99.3,60.35,Normal
LOT_202603_0077,Lithography,EQP_LITHO_04,38.43,2.99,101.0,55.9,Normal
